
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 12	Lines 12 Profile Sample	1842		12	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 12	Lines 12 Profile Sample	1862		12	0.0894	1	0.0417	Line Profile Sample
Line Profile Sample 3 for Lines 12	Lines 12 Profile Sample	1753		12	0.179	2	0.0833	Line Profile Sample
Line Profile Sample 4 for Lines 12	Lines 12 Profile Sample	1616		12	0.268	3	0.125	Line Profile Sample
Line Profile Sample 5 for Lines 12	Lines 12 Profile Sample	1539		12	0.357	4	0.167	Line Profile Sample
Line Profile Sample 6 for Lines 12	Lines 12 Profile Sample	1475		12	0.447	5	0.208	Line Profile Sample
Line Profile Sample 7 for Lines 12	Lines 12 Profile Sample	1450		12	0.536	6	0.25	Line Profile Sample
Line Profile Sample 8 for Lines 12	Lines 12 Profile Sample	1405		12	0.626	7	0.292	Line Profile Sample
Line Profile Sample 9 for Lines 12	Lines 12 Profile Sample	1377		12	0.715	8	0.333	Line Profile Sample
Line Profile Sample 10 for Lines 12	Lines 12 Profile Sample	1380		12	0.804	9	0.375	Line Profile Sample
Line Profile Sample 11 for Lines 12	Lines 12 Profile Sample	1372		12	0.894	10	0.417	Line Profile Sample
Line Profile Sample 12 for Lines 12	Lines 12 Profile Sample	1411		12	0.983	11	0.458	Line Profile Sample
Line Profile Sample 13 for Lines 12	Lines 12 Profile Sample	1397		12	1.07	12	0.5	Line Profile Sample
Line Profile Sample 14 for Lines 12	Lines 12 Profile Sample	1425		12	1.16	13	0.542	Line Profile Sample
Line Profile Sample 15 for Lines 12	Lines 12 Profile Sample	1430		12	1.25	14	0.583	Line Profile Sample
Line Profile Sample 16 for Lines 12	Lines 12 Profile Sample	1430		12	1.34	15	0.625	Line Profile Sample
Line Profile Sample 17 for Lines 12	Lines 12 Profile Sample	1394		12	1.43	16	0.667	Line Profile Sample
Line Profile Sample 18 for Lines 12	Lines 12 Profile Sample	1385		12	1.52	17	0.708	Line Profile Sample
Line Profile Sample 19 for Lines 12	Lines 12 Profile Sample	1373		12	1.61	18	0.75	Line Profile Sample
Line Profile Sample 20 for Lines 12	Lines 12 Profile Sample	1367		12	1.7	19	0.792	Line Profile Sample
Line Profile Sample 21 for Lines 12	Lines 12 Profile Sample	1375		12	1.79	20	0.833	Line Profile Sample
Line Profile Sample 22 for Lines 12	Lines 12 Profile Sample	1388		12	1.88	21	0.875	Line Profile Sample
Line Profile Sample 23 for Lines 12	Lines 12 Profile Sample	1449		12	1.97	22	0.917	Line Profile Sample
Line Profile Sample 24 for Lines 12	Lines 12 Profile Sample	1577		12	2.06	23	0.958	Line Profile Sample
Line Profile Sample 25 for Lines 12	Lines 12 Profile Sample	1614		12	2.14	24	1	Line Profile Sample
Line Profile Sample 26 for Lines 12	Lines 12 Profile Sample	1614		12	2.14	24	1	Line Profile Sample
